date,open,high,low,close,volume
2016-10-19,635.31,638.04,624.13,627.06,4474.80485066
2016-10-18,636.86,637.8,631.52,635.31,2969.98486317
2016-10-17,638.9,639.99,632.1,636.86,3690.02257869
2016-10-16,635.25,641.4,635.18,638.9,1299.15163702
2016-10-15,638.96,642.0,635.25,635.25,1426.8678492
2016-10-14,635.5,639.99,630.45,638.96,3156.35537669
2016-10-13,634.16,636.0,630.0,635.5,2360.44793912
2016-10-12,637.9,640.0,628.76,634.16,2870.29762169
2016-10-11,614.97,639.0,613.94,637.9,7958.99995559
2016-10-10,612.67,616.47,612.09,614.97,2217.05530019
2016-10-09,613.5,614.98,610.0,612.67,1178.43763735
2016-10-08,614.01,616.99,612.5,613.5,913.92307258
2016-10-07,610.34,616.34,607.52,614.01,4040.6780644
2016-10-06,609.79,610.98,607.09,610.34,2139.18110702
2016-10-05,606.55,612.0,605.76,609.79,2290.70138804
2016-10-04,610.06,612.98,604.99,606.55,3214.37874769
2016-10-03,608.59,611.59,606.6,610.06,1960.7753186
2016-10-02,613.0,613.01,605.0,608.59,1403.40243991
2016-10-01,608.37,614.28,607.0,613.0,1498.19031333
2016-09-30,605.64,608.38,603.15,608.37,2620.89748012
2016-09-29,603.65,605.99,601.0,605.64,2734.70085931
2016-09-28,603.08,605.3,601.41,603.65,2207.55541123
2016-09-27,605.86,608.37,600.02,603.08,3077.96054544
2016-09-26,597.43,607.27,596.1,605.86,4016.55358017
2016-09-25,600.14,601.99,596.0,597.43,1110.18528772
2016-09-24,602.54,603.59,597.76,600.14,1172.67430709
2016-09-23,595.0,602.9,593.0,602.54,4034.23716161
2016-09-22,595.04,596.42,592.5,595.0,2347.26231098
2016-09-21,607.3,607.3,592.1,595.04,3893.77908073
2016-09-20,607.81,608.88,605.35,607.3,2433.7220615
2016-09-19,607.19,609.5,603.0,607.81,2490.77788705
2016-09-18,603.12,609.06,601.97,607.19,1284.46213451
2016-09-17,606.02,607.59,601.1,603.12,1134.83483275
2016-09-16,605.03,608.99,603.5,606.02,2678.19313177
2016-09-15,608.61,609.35,602.3,605.03,3054.99957161
2016-09-14,607.9,610.69,605.98,608.61,2898.7573053
2016-09-13,605.81,609.61,603.28,607.9,3424.31618503
2016-09-12,603.46,609.15,602.0,605.81,3555.19678806
2016-09-11,622.2,628.99,594.63,603.46,5299.61468228
2016-09-10,621.09,625.0,618.67,622.2,1535.42863594
2016-09-09,625.39,627.49,612.93,621.09,3279.92000241
2016-09-08,613.9,628.98,611.66,625.39,4459.86825402
2016-09-07,608.72,615.92,604.7,613.9,4542.24061442
2016-09-06,603.5,609.74,601.0,608.72,4014.32198351
2016-09-05,603.66,607.65,592.46,603.5,3759.47315151
2016-09-04,595.22,609.05,590.88,603.66,4069.89545196
2016-09-03,572.0,598.64,569.01,595.22,4613.11260919
2016-09-02,570.95,574.2,567.03,572.0,2955.21326723
2016-09-01,570.76,572.86,566.86,570.95,3027.25719538
2016-08-31,575.8,576.49,568.4,570.76,3660.13835935
2016-08-30,571.48,576.5,568.55,575.8,4440.15568137
2016-08-29,571.7,575.0,568.6,571.48,2360.44831721
2016-08-28,568.17,572.91,566.8,571.7,962.22947814
2016-08-27,577.96,579.09,564.81,568.17,2749.84446314
2016-08-26,576.93,582.46,574.1,577.96,3299.37415947
2016-08-25,578.19,578.75,571.16,576.93,4210.54658365
2016-08-24,581.99,582.1,575.4,578.19,2972.54991458
2016-08-23,583.99,584.99,576.0,581.99,4277.86358636
2016-08-22,578.23,585.95,572.5,583.99,4992.43472384
2016-08-21,577.46,583.99,576.01,578.23,1588.27291846
2016-08-20,572.34,578.99,568.52,577.46,2013.78846383
2016-08-19,572.64,574.86,552.3,572.34,4672.14717775
2016-08-18,570.67,575.87,568.79,572.64,4034.28679191
2016-08-17,576.83,578.11,566.02,570.67,4147.27743107
2016-08-16,565.01,579.8,563.0,576.83,4783.25010418
2016-08-15,567.85,573.69,554.9,565.01,4536.67266127
2016-08-14,583.0,585.15,556.24,567.85,4803.89573054
2016-08-13,585.88,589.98,581.71,583.0,1014.4646274
2016-08-12,585.5,591.19,580.47,585.88,2168.42542899
2016-08-11,593.08,597.78,585.5,585.5,2851.23616453
2016-08-10,584.16,603.0,580.01,593.08,4914.97610418
2016-08-09,589.64,591.99,579.43,584.16,3411.21164126
2016-08-08,593.08,594.2,583.58,589.64,2896.81932148
2016-08-07,589.98,598.82,582.12,593.08,3043.02444567
2016-08-06,575.57,590.26,562.56,589.98,5958.06138906
2016-08-05,576.77,580.0,562.0,575.57,4925.7920928
2016-08-04,565.75,583.97,552.0,576.77,8644.32845819
2016-08-03,482.73,572.34,465.28,565.75,20733.85891707
2016-08-02,608.47,613.03,482.73,482.73,17135.03891532
2016-08-01,631.25,631.82,606.66,608.47,5622.32081233
2016-07-31,653.07,654.71,625.19,631.25,4180.52265697
2016-07-30,657.03,657.5,652.19,653.07,707.22760423
2016-07-29,655.37,657.48,653.0,657.03,1322.66154941
2016-07-28,654.3,657.89,652.41,655.37,1971.37945572
2016-07-27,653.63,659.98,646.31,654.3,2855.22391603
2016-07-26,656.1,656.94,645.01,653.63,3352.70506988
2016-07-25,659.5,661.99,652.28,656.1,2393.65255241
2016-07-24,654.06,665.0,651.99,659.5,1405.39995744
2016-07-23,646.8,656.77,645.11,654.06,1499.63582546
2016-07-22,662.48,666.3,645.0,646.8,4986.61603948
2016-07-21,666.77,668.0,660.1,662.48,2516.46952265
2016-07-20,673.45,675.0,660.0,666.77,3433.96389784
2016-07-19,674.32,675.81,666.0,673.45,1888.07465261
2016-07-18,676.09,682.21,666.12,674.32,3068.26996378
2016-07-17,662.45,684.19,660.34,676.09,3411.51439978
2016-07-16,663.04,666.67,655.0,662.45,1648.09889443
2016-07-15,660.0,670.01,658.41,663.04,3214.3798729
2016-07-14,660.94,664.93,650.01,660.0,2605.42242722
2016-07-13,674.98,675.0,654.52,660.94,6631.87697473
2016-07-12,647.22,678.0,646.05,674.98,4318.15457118
2016-07-11,647.0,659.6,639.31,647.22,2704.00533961
2016-07-10,651.56,652.6,636.8,647.0,2343.42614283
2016-07-09,659.87,665.99,626.0,651.56,6448.98580022
2016-07-08,634.21,661.0,633.53,659.87,6398.46196975
2016-07-07,674.68,678.43,605.5,634.21,12618.36403831
2016-07-06,668.81,679.0,662.13,674.68,3593.27432448
2016-07-05,678.65,682.36,661.57,668.81,3152.52423958
2016-07-04,662.7,682.35,640.1,678.65,4307.45208285
2016-07-03,700.07,704.99,646.29,662.7,7285.66870627
2016-07-02,679.11,704.93,672.74,700.07,5430.12928173
2016-07-01,667.0,684.1,659.71,679.11,6527.1764287
2016-06-30,635.0,671.22,628.06,667.0,7621.90506924
2016-06-29,646.55,646.69,621.09,635.0,8907.23654493
2016-06-28,647.76,665.51,635.5,646.55,5628.43851113
2016-06-27,625.87,653.46,618.03,647.76,9391.5062296
2016-06-26,667.48,666.02,608.64,625.87,5007.33414194
2016-06-25,658.57,684.45,639.4,667.48,6607.14566286
2016-06-24,625.0,683.88,620.82,658.57,16633.74768786
2016-06-23,601.0,632.67,540.17,625.0,24862.32278699
2016-06-22,654.64,677.63,595.0,601.0,15873.13085662
2016-06-21,732.01,736.15,625.0,654.64,32702.15884941
2016-06-20,761.46,763.99,725.0,732.01,7786.40894644
2016-06-19,752.72,764.93,740.11,761.46,2697.08620389
2016-06-18,744.0,778.85,723.02,752.72,5934.67916024
2016-06-17,771.3,778.7,706.37,744.0,14996.58292451
2016-06-16,693.35,773.07,689.8,771.3,17652.98643796
2016-06-15,684.7,695.77,672.12,693.35,5676.40650133
2016-06-14,701.56,704.57,655.0,684.7,10665.67237551
2016-06-13,679.96,725.0,655.02,701.56,18024.61909875
2016-06-12,587.21,682.55,585.51,679.96,15095.0484449
2016-06-11,576.59,587.23,575.93,587.21,2248.7007339
2016-06-10,575.69,580.0,572.0,576.59,3461.55487443
2016-06-09,583.43,583.81,572.97,575.69,3762.75713132
2016-06-08,576.39,584.25,571.86,583.43,3337.78068097
2016-06-07,583.97,594.44,563.0,576.39,6714.99485991
2016-06-06,572.25,586.02,570.59,583.97,4455.46288478
2016-06-05,573.08,582.0,566.0,572.25,5403.80366991
2016-06-04,567.22,588.71,558.54,573.08,6287.44011289
2016-06-03,539.96,578.37,535.74,567.22,8700.85430901
2016-06-02,537.0,540.0,529.13,539.96,4090.88632969
2016-06-01,534.69,542.87,525.49,537.0,5439.65117255
2016-05-31,524.25,548.5,515.0,534.69,11915.96742347
2016-05-30,509.99,535.0,506.51,524.25,6165.90938742
2016-05-29,524.89,540.0,485.0,509.99,8501.59326202
2016-05-28,470.34,529.08,468.0,524.89,12343.97438476
2016-05-27,452.02,478.16,451.78,470.34,12069.41332543
2016-05-26,447.94,452.98,446.8,452.02,3785.39991189
2016-05-25,445.31,449.6,443.97,447.94,3662.66101932
2016-05-24,442.63,446.37,441.0,445.31,3119.09768946
2016-05-23,438.62,442.9,436.27,442.63,2762.62605358
2016-05-22,443.88,443.89,435.0,438.62,2141.3896754
2016-05-21,441.58,443.98,435.28,443.88,1966.64671506
2016-05-20,441.97,444.41,435.03,441.58,3915.9244285
2016-05-19,452.87,453.85,441.05,441.97,5472.43667235
2016-05-18,452.14,455.68,452.0,452.87,2836.40344284
2016-05-17,454.92,456.09,452.14,452.14,3411.60840166
2016-05-16,457.94,458.0,451.11,454.92,3024.33917011
2016-05-15,456.34,458.08,454.72,457.94,1647.72153069
2016-05-14,456.04,457.25,453.51,456.34,1391.80362467
2016-05-13,454.7,456.65,452.04,456.04,2932.53675496
2016-05-12,452.04,454.75,448.88,454.7,3297.60978584
2016-05-11,450.94,457.99,449.7,452.04,3713.59137854
2016-05-10,461.45,463.0,447.38,450.94,5422.90056017
2016-05-09,458.31,464.79,455.62,461.45,3535.556767
2016-05-08,457.88,459.69,455.95,458.31,1311.60181764
2016-05-07,460.11,461.41,455.95,457.88,2116.35801154
2016-05-06,448.39,463.97,447.03,460.11,5763.74865226
2016-05-05,446.17,449.72,445.11,448.39,2287.21138993
2016-05-04,451.97,452.0,444.15,446.17,3267.3144414
2016-05-03,444.46,452.0,440.78,451.97,5889.39230191
2016-05-02,452.86,453.8,438.59,444.46,6073.07788255
2016-05-01,447.9,453.78,446.5,452.86,1286.70277974
2016-04-30,454.66,456.9,447.27,447.9,2388.37024601
2016-04-29,448.88,456.0,445.62,454.66,3060.09397925
2016-04-28,447.29,451.0,435.0,448.88,9019.12362561
2016-04-27,466.57,469.03,445.42,447.29,6645.10735538
2016-04-26,466.28,469.87,462.13,466.57,4755.16666998
2016-04-25,459.46,469.47,455.13,466.28,5601.8393498
2016-04-24,451.93,470.02,447.06,459.46,7032.85634075
2016-04-23,447.83,452.18,444.46,451.93,2249.84849225
2016-04-22,450.61,451.36,442.96,447.83,5525.96710073
2016-04-21,442.41,452.11,440.0,450.61,5564.4639033
2016-04-20,433.93,444.0,433.11,442.41,7636.2215118
2016-04-19,427.96,435.0,426.24,433.93,3541.11247303
2016-04-18,426.74,430.01,425.8,427.96,3186.57116129
2016-04-17,430.68,430.91,424.24,426.74,1521.30645702
2016-04-16,429.24,432.87,427.12,430.68,1834.88975103
2016-04-15,423.98,430.0,423.07,429.24,4397.02458613
2016-04-14,424.51,425.35,420.57,423.98,3991.49798921
2016-04-13,425.32,426.18,422.94,424.51,3802.73556181
2016-04-12,422.45,426.67,421.0,425.32,6078.02513946
2016-04-11,420.61,422.8,418.0,422.45,3524.94515463
2016-04-10,418.02,421.79,417.2,420.61,1757.76593354
2016-04-09,418.67,419.13,412.0,418.02,3638.84014679
2016-04-08,420.0,423.99,416.26,418.67,4703.92372259
2016-04-07,421.69,421.99,418.21,420.0,3056.61240623
2016-04-06,422.24,422.9,420.0,421.69,2388.33297175
2016-04-05,419.33,423.0,416.61,422.24,3946.46434022
2016-04-04,418.98,419.85,416.0,419.33,3481.95718993
2016-04-03,419.38,419.44,416.1,418.98,1321.30115941
2016-04-02,415.91,420.0,414.93,419.38,2121.64067901
2016-04-01,415.35,416.99,413.42,415.91,3792.36761489
2016-03-31,414.1,416.99,411.4,415.35,3738.93979317
2016-03-30,415.0,415.99,408.59,414.1,4818.07650898
2016-03-29,422.95,424.37,407.22,415.0,5933.342408
2016-03-28,424.16,425.0,420.32,422.95,3235.75353917
2016-03-27,415.75,427.99,415.77,424.16,5007.35788626
2016-03-26,416.03,416.99,414.0,415.75,1301.06724629
2016-03-25,415.48,416.92,412.0,416.03,2568.5036141
2016-03-24,417.85,418.38,412.85,415.48,2888.42157304
2016-03-23,416.16,419.0,413.44,417.85,4912.9896997
2016-03-22,410.98,416.99,409.9,416.16,3927.53266839
2016-03-21,411.08,411.96,406.5,410.98,3552.7779858
2016-03-20,406.7,412.0,406.3,411.08,2601.98301393
2016-03-19,407.48,409.95,404.1,406.7,2900.09722
2016-03-18,418.46,418.49,403.34,407.48,6253.64507634
2016-03-17,416.0,419.0,415.11,418.46,3764.3877166
2016-03-16,415.75,416.5,413.15,416.0,4243.46710229
2016-03-15,414.0,417.43,412.15,415.75,4719.92306184
2016-03-14,412.58,415.22,410.5,414.0,4265.90491838
2016-03-13,410.41,417.0,409.62,412.58,3237.5863046
2016-03-12,419.13,420.93,406.59,410.41,4600.53852943
2016-03-11,416.0,421.91,415.11,419.13,5950.69494053
2016-03-10,413.0,416.9,409.31,416.0,5255.299453
2016-03-09,411.75,413.51,408.75,413.0,4876.78893016
2016-03-08,414.01,414.99,408.46,411.75,5576.2582036
2016-03-07,406.23,414.96,403.03,414.01,5937.73379583
2016-03-06,399.83,412.31,393.11,406.23,5692.00930852
2016-03-05,408.01,408.98,382.0,399.83,16436.40386167
2016-03-04,420.29,423.9,406.02,408.01,7789.00370914
2016-03-03,422.4,424.47,415.85,420.29,7483.49181156
2016-03-02,432.5,434.5,421.31,422.4,5788.40511598
2016-03-01,435.23,437.5,427.01,432.5,6941.51621427
2016-02-29,431.68,440.99,428.12,435.23,8463.34883153
2016-02-28,431.07,435.0,422.29,431.68,3501.18941279
2016-02-27,432.0,435.0,428.22,431.07,4159.44591017
2016-02-26,423.51,432.0,418.01,432.0,4635.1202274
2016-02-25,423.78,426.75,415.79,423.51,5597.96719924
2016-02-24,419.1,424.28,409.07,423.78,7258.35730294
2016-02-23,438.27,440.0,414.0,419.1,10509.60507822
2016-02-22,438.5,439.5,431.15,438.27,5840.3160546
2016-02-21,434.63,447.99,426.0,438.5,10300.7594242
2016-02-20,419.54,443.96,419.5,434.63,11631.86392251
